
 PRINT U    NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    2.7480      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
     157   0.0000       0.0000       0.0000       0.0000     
     158  0.21512E-004 0.66425E-004-0.27140E-004 0.74911E-004
     159  0.25743E-004 0.67075E-004-0.46056E-004 0.85340E-004
     160  0.56035E-004 0.15112E-003-0.49425E-004 0.16859E-003
     161  0.74429E-004 0.15415E-003-0.84303E-004 0.19081E-003
     162  0.81055E-004 0.25290E-003-0.68892E-004 0.27437E-003
     163  0.10796E-003 0.25738E-003-0.11799E-003 0.30302E-003
     164  0.44470E-003 0.72295E-003-0.56594E-003 0.10201E-002
     165  0.29267E-003 0.42482E-003-0.30052E-003 0.59703E-003
     166  0.41643E-003 0.48680E-003-0.38174E-003 0.74573E-003
     167  0.53731E-003 0.57313E-003-0.45925E-003 0.90999E-003
     168  0.62857E-003 0.67034E-003-0.52583E-003 0.10588E-002
     169  0.66965E-003 0.75583E-003-0.57450E-003 0.11618E-002
     170  0.65723E-003 0.80892E-003-0.60180E-003 0.12035E-002
     171  0.60142E-003 0.81680E-003-0.60609E-003 0.11816E-002
     172  0.52361E-003 0.78274E-003-0.59234E-003 0.11125E-002
     173   0.0000       0.0000       0.0000       0.0000     
     174  0.69402E-004 0.10165E-003-0.16467E-003 0.20559E-003
     175  0.19649E-003 0.32313E-003-0.30650E-003 0.48679E-003
     176  0.32370E-003 0.53491E-003-0.43610E-003 0.76230E-003
     177   0.0000       0.0000       0.0000       0.0000     
     178   0.0000       0.0000       0.0000       0.0000     
     179   0.0000       0.0000       0.0000       0.0000     
     180   0.0000       0.0000       0.0000       0.0000     
     181   0.0000       0.0000       0.0000       0.0000     
     182   0.0000       0.0000       0.0000       0.0000     
     183   0.0000       0.0000       0.0000       0.0000     
     184   0.0000       0.0000       0.0000       0.0000     
     185  0.45928E-004 0.73014E-004-0.90069E-004 0.12471E-003
     186  0.59925E-004 0.79700E-004-0.11342E-003 0.15102E-003
     187  0.73513E-004 0.88581E-004-0.13566E-003 0.17791E-003
     188  0.84030E-004 0.98332E-004-0.15466E-003 0.20162E-003
     189  0.89481E-004 0.10678E-003-0.16854E-003 0.21867E-003
     190  0.89333E-004 0.11185E-003-0.17612E-003 0.22695E-003
     191  0.84571E-004 0.11227E-003-0.17728E-003 0.22624E-003
     192  0.77120E-004 0.10824E-003-0.17293E-003 0.21810E-003
     193  0.14929E-003 0.17962E-003-0.16615E-003 0.28663E-003
     194  0.19850E-003 0.20727E-003-0.20997E-003 0.35559E-003
     195  0.24468E-003 0.24405E-003-0.25179E-003 0.42759E-003
     196  0.27839E-003 0.28474E-003-0.28754E-003 0.49118E-003
     197  0.29274E-003 0.32128E-003-0.31368E-003 0.53602E-003
     198  0.28623E-003 0.34563E-003-0.32786E-003 0.55577E-003
     199  0.26282E-003 0.35289E-003-0.32995E-003 0.54997E-003
     200  0.23016E-003 0.34342E-003-0.32179E-003 0.52389E-003
     201  0.23429E-003 0.29831E-003-0.23401E-003 0.44569E-003
     202  0.32130E-003 0.34518E-003-0.29661E-003 0.55710E-003
     203  0.40440E-003 0.40887E-003-0.35645E-003 0.67659E-003
     204  0.46552E-003 0.47976E-003-0.40762E-003 0.78297E-003
     205  0.49204E-003 0.54307E-003-0.44513E-003 0.85742E-003
     206  0.48072E-003 0.58397E-003-0.46559E-003 0.88819E-003
     207  0.43932E-003 0.59387E-003-0.46870E-003 0.87485E-003
     208  0.38206E-003 0.57367E-003-0.45727E-003 0.82714E-003
     209  0.28176E-003 0.57227E-003-0.44798E-003 0.77946E-003
     210  0.39186E-003 0.67375E-003-0.54092E-003 0.94873E-003
     211  0.34806E-003 0.63082E-003-0.51211E-003 0.88393E-003
     212  0.31212E-003 0.59738E-003-0.48118E-003 0.82814E-003
     213   0.0000       0.0000       0.0000       0.0000     
     214  0.50680E-004 0.84955E-004-0.12830E-003 0.16201E-003
     215  0.11829E-003 0.26210E-003-0.24002E-003 0.37456E-003
     216  0.19608E-003 0.42735E-003-0.34337E-003 0.58222E-003
     217   0.0000       0.0000       0.0000       0.0000     
     218   0.0000       0.0000       0.0000       0.0000     
     219   0.0000       0.0000       0.0000       0.0000     
     220  0.63635E-004 0.96054E-004-0.15665E-003 0.19446E-003
     221  0.58697E-004 0.91133E-004-0.14756E-003 0.18310E-003
     222  0.54413E-004 0.87466E-004-0.13833E-003 0.17247E-003
     223  0.17228E-003 0.30450E-003-0.29179E-003 0.45557E-003
     224  0.15147E-003 0.28738E-003-0.27529E-003 0.42581E-003
     225  0.13378E-003 0.27343E-003-0.25819E-003 0.39916E-003
     226  0.28320E-003 0.50087E-003-0.41584E-003 0.70993E-003
     227  0.24910E-003 0.47047E-003-0.39295E-003 0.66167E-003
