NODE UX UY UZ USUM
268 -0.52505E-005 0.93722E-004 -0.10902E-003 0.14387E-003
269 0.66430E-005 0.73881E-004 -0.84839E-004 0.11269E-003
270 0.18421E-004 0.57374E-004 -0.62054E-004 0.86497E-004
271 -0.47982E-004 0.25896E-003 -0.20067E-003 0.33111E-003
272 -0.59187E-005 0.18790E-003 -0.15543E-003 0.24393E-003
273 0.38763E-004 0.13063E-003 -0.11294E-003 0.17699E-003
274 -0.70064E-004 0.41526E-003 -0.28109E-003 0.50632E-003
275 0.10992E-004 0.28834E-003 -0.21714E-003 0.36112E-003
276 0.95823E-004 0.18799E-003 -0.15707E-003 0.26305E-003
277 0.32280E-003 0.11705E-003 -0.95468E-004 0.35639E-003
278 0.27443E-003 0.13394E-003 -0.79555E-004 0.31556E-003
279 0.0000 0.0000 0.0000 0.0000
280 0.0000 0.0000 0.0000 0.0000
281 0.28885E-004 0.40578E-004 -0.30887E-004 0.58609E-004
282 0.22622E-004 0.39336E-004 -0.25559E-004 0.52080E-004
283 0.86788E-004 0.77844E-004 -0.55286E-004 0.12903E-003
284 0.71480E-004 0.77696E-004 -0.45884E-004 0.11512E-003
285 0.18620E-003 0.10290E-003 -0.75966E-004 0.22590E-003
286 0.15666E-003 0.10893E-003 -0.63251E-004 0.20102E-003
287 0.44600E-003 0.36595E-003 -0.19480E-003 0.60892E-003
288 0.23548E-003 0.20740E-003 -0.10461E-003 0.33077E-003
289 0.32918E-003 0.25124E-003 -0.12614E-003 0.43289E-003
290 0.40889E-003 0.30232E-003 -0.15434E-003 0.53142E-003
291 -0.93291E-003 0.41023E-003 -0.25539E-003 0.10506E-002
292 -0.27265E-004 0.44350E-003 -0.22483E-003 0.49798E-003
293 -0.52449E-003 0.45716E-003 -0.25258E-003 0.74019E-003
294 -0.50982E-003 0.21912E-003 -0.16217E-003 0.57813E-003
295 -0.63710E-003 0.27906E-003 -0.19114E-003 0.72132E-003
296 -0.77473E-003 0.34364E-003 -0.22143E-003 0.87597E-003
297 -0.16048E-004 0.24512E-003 -0.12813E-003 0.27706E-003
298 -0.28420E-003 0.24847E-003 -0.15227E-003 0.40705E-003
299 0.25515E-005 0.30458E-003 -0.15348E-003 0.34108E-003
300 -0.34494E-003 0.31320E-003 -0.18099E-003 0.49983E-003
301 0.68065E-005 0.37010E-003 -0.18404E-003 0.41339E-003
302 -0.41920E-003 0.38310E-003 -0.21322E-003 0.60659E-003
303 -0.86663E-003 0.46692E-003 0.11111E-003 0.99066E-003
304 -0.11675E-002 0.34452E-003 -0.22168E-003 0.12373E-002
305 -0.12186E-002 0.30610E-003 -0.14754E-003 0.12651E-002
306 -0.11011E-002 0.33844E-003 -0.34008E-004 0.11524E-002
307 -0.51328E-003 0.22832E-003 0.53542E-004 0.56431E-003
308 -0.64947E-003 0.29425E-003 0.69812E-004 0.71643E-003
309 -0.76598E-003 0.37727E-003 0.90954E-004 0.85868E-003
310 -0.64481E-003 0.17867E-003 -0.14808E-003 0.68530E-003
311 -0.68104E-003 0.15299E-003 -0.10605E-003 0.70602E-003
312 -0.62716E-003 0.16570E-003 -0.37214E-004 0.64974E-003
313 -0.81254E-003 0.22984E-003 -0.17277E-003 0.86192E-003
314 -0.86154E-003 0.19837E-003 -0.12149E-003 0.89239E-003
315 -0.79480E-003 0.21472E-003 -0.38678E-004 0.82420E-003
316 -0.98537E-003 0.28623E-003 -0.19682E-003 0.10448E-002
317 -0.10401E-002 0.25085E-003 -0.13462E-003 0.10783E-002
318 -0.95210E-003 0.27458E-003 -0.36431E-004 0.99158E-003
319 -0.20898E-003 0.16937E-002 0.98043E-003 0.19682E-002
320 -0.59669E-003 0.67841E-003 0.27020E-003 0.94302E-003
321 -0.35429E-003 0.94421E-003 0.43516E-003 0.10984E-002
322 -0.19192E-003 0.12142E-002 0.59481E-003 0.13656E-002
323 -0.13881E-003 0.14326E-002 0.73977E-003 0.16183E-002
324 -0.17417E-003 0.15651E-002 0.86194E-003 0.17952E-002
325 -0.18319E-003 0.79434E-003 0.58074E-003 0.10009E-002
326 -0.20688E-003 0.10557E-002 0.72168E-003 0.12954E-002
327 -0.19976E-003 0.13924E-002 0.86975E-003 0.16538E-002
328 -0.39072E-003 0.32466E-003 0.14780E-003 0.52907E-003
329 -0.28323E-003 0.44126E-003 0.24527E-003 0.57887E-003
330 -0.21102E-003 0.55563E-003 0.33925E-003 0.68436E-003
331 -0.17769E-003 0.65151E-003 0.42619E-003 0.79854E-003
332 -0.17314E-003 0.72690E-003 0.50600E-003 0.90244E-003
333 -0.48701E-003 0.42062E-003 0.18521E-003 0.66963E-003
334 -0.34200E-003 0.57609E-003 0.30531E-003 0.73625E-003
335 -0.24409E-003 0.73012E-003 0.42176E-003 0.87780E-003
336 -0.19976E-003 0.85877E-003 0.52905E-003 0.10282E-002
337 -0.19395E-003 0.96074E-003 0.62798E-003 0.11640E-002
338 -0.55314E-003 0.54368E-003 0.22903E-003 0.80871E-003
339 -0.36086E-003 0.75143E-003 0.37313E-003 0.91329E-003
340 -0.23037E-003 0.96104E-003 0.51350E-003 0.11137E-002
341 -0.17794E-003 0.11337E-002 0.64169E-003 0.13148E-002
342 -0.17943E-003 0.12639E-002 0.75714E-003 0.14842E-002
343 -0.45648E-003 0.23662E-002 0.13198E-002 0.27476E-002
344 -0.23136E-003 0.18647E-002 0.10858E-002 0.21702E-002
345 -0.29262E-003 0.20543E-002 0.11838E-002 0.23890E-002
346 -0.38260E-003 0.21964E-002 0.12555E-002 0.25587E-002
347 -0.26908E-003 0.11705E-002 0.80872E-003 0.14479E-002
348 -0.33394E-003 0.15310E-002 0.99296E-003 0.18551E-002
349 -0.39496E-003 0.19839E-002 0.11825E-002 0.23431E-002
350 -0.19738E-003 0.85996E-003 0.64245E-003 0.10914E-002
351 -0.21511E-003 0.94169E-003 0.70129E-003 0.11937E-002
352 -0.23773E-003 0.10449E-002 0.75697E-003 0.13120E-002
353 -0.22638E-003 0.11470E-002 0.79801E-003 0.14155E-002
354 -0.25401E-003 0.12536E-002 0.86896E-003 0.15463E-002
355 -0.28922E-003 0.13797E-002 0.93389E-003 0.16909E-002
356 -0.22709E-003 0.15226E-002 0.96132E-003 0.18150E-002
357 -0.27128E-003 0.16646E-002 0.10461E-002 0.19846E-002
358 -0.32955E-003 0.18111E-002 0.11178E-002 0.21536E-002
359 -0.19252E-003 0.11727E-002 0.68750E-003 0.13730E-002
360 -0.57064E-003 0.27260E-002 0.14172E-002 0.31249E-002
361 -0.76721E-003 0.31108E-002 0.15091E-002 0.35417E-002
362 -0.99158E-003 0.33135E-002 0.15528E-002 0.37913E-002
363 -0.11653E-002 0.32860E-002 0.15431E-002 0.38127E-002
364 -0.12447E-002 0.30623E-002 0.14798E-002 0.36218E-002
365 -0.12031E-002 0.27000E-002 0.13677E-002 0.32571E-002
366 -0.10408E-002 0.22596E-002 0.12190E-002 0.27703E-002
367 -0.77766E-003 0.18209E-002 0.10456E-002 0.22392E-002
368 -0.47697E-003 0.14484E-002 0.86377E-003 0.17525E-002
369 -0.75856E-004 0.61450E-003 0.41468E-003 0.74520E-003
370 -0.79776E-004 0.77545E-003 0.50345E-003 0.92799E-003
371 -0.12658E-003 0.96925E-003 0.60005E-003 0.11470E-002
372 -0.52224E-003 0.19386E-002 0.11116E-002 0.22949E-002
373 -0.47122E-003 0.12079E-002 0.78301E-003 0.15147E-002
374 -0.22441E-003 0.75775E-003 0.52883E-003 0.95090E-003
375 -0.26734E-003 0.95361E-003 0.63945E-003 0.11789E-002
376 -0.35966E-003 0.11920E-002 0.75642E-003 0.14569E-002
377 -0.59833E-003 0.14889E-002 0.91641E-003 0.18479E-002
378 -0.81417E-003 0.18489E-002 0.10743E-002 0.22881E-002
379 -0.96086E-003 0.22053E-002 0.12087E-002 0.26921E-002
380 -0.97338E-003 0.24017E-002 0.12759E-002 0.28885E-002
381 -0.93538E-003 0.26018E-002 0.13370E-002 0.30712E-002
382 -0.81382E-003 0.26483E-002 0.13561E-002 0.30846E-002
383 -0.64920E-003 0.25122E-002 0.13265E-002 0.29141E-002
384 -0.50066E-003 0.22517E-002 0.12608E-002 0.26288E-002
385 -0.41264E-003 0.17438E-002 0.10596E-002 0.20818E-002
386 -0.32906E-003 0.13449E-002 0.86752E-003 0.16339E-002
387 -0.37956E-003 0.95926E-003 0.65176E-003 0.12203E-002
388 -0.41371E-003 0.14975E-002 0.91172E-003 0.18014E-002
389 -0.50617E-003 0.11881E-002 0.76676E-003 0.15019E-002
390 -0.50454E-003 0.15706E-002 0.92832E-003 0.18929E-002
391 -0.56825E-003 0.15332E-002 0.90848E-003 0.18705E-002
392 -0.57400E-003 0.13947E-002 0.85437E-003 0.17334E-002
393 -0.64071E-003 0.20367E-002 0.11326E-002 0.24169E-002
394 -0.72537E-003 0.19921E-002 0.11120E-002 0.23940E-002
395 -0.73883E-003 0.18162E-002 0.10454E-002 0.22220E-002
396 -0.66384E-003 0.15615E-002 0.95407E-003 0.19466E-002
397 0.20066E-003 0.86723E-003 0.24801E-003 0.92404E-003
398 0.39853E-004 0.99055E-003 0.51822E-003 0.11186E-002
399 0.17148E-003 0.90036E-003 0.37192E-003 0.98913E-003
400 0.11102E-003 0.46966E-003 0.14525E-003 0.50399E-003
401 0.15646E-003 0.59433E-003 0.17785E-003 0.63980E-003
402 0.18270E-003 0.72914E-003 0.21446E-003 0.78168E-003
403 0.38544E-004 0.52567E-003 0.31025E-003 0.61161E-003
404 0.10189E-003 0.48299E-003 0.22031E-003 0.54055E-003
405 0.67350E-004 0.66324E-003 0.37758E-003 0.76615E-003
406 0.14675E-003 0.61023E-003 0.26894E-003 0.68282E-003
407 0.60856E-004 0.82344E-003 0.45135E-003 0.94100E-003
408 0.16483E-003 0.75284E-003 0.32271E-003 0.83551E-003
409 0.29327E-005 0.84004E-003 -0.46633E-004 0.84134E-003
410 0.15397E-003 0.85770E-003 0.14183E-003 0.88287E-003
411 0.73176E-004 0.85028E-003 0.46105E-004 0.85467E-003
412 -0.20227E-004 0.46050E-003 -0.28878E-004 0.46185E-003
413 -0.15306E-004 0.58359E-003 -0.35494E-004 0.58486E-003
414 -0.59558E-005 0.71154E-003 -0.41928E-004 0.71280E-003
415 0.78503E-004 0.46787E-003 0.81960E-004 0.48144E-003
416 0.26639E-004 0.46581E-003 0.25699E-004 0.46727E-003
417 0.11303E-003 0.59261E-003 0.10061E-003 0.61162E-003
