Element number 1
	118.0 0.115948083236 -1.64095362141 1.84000157255 
	175.0 0.657952687249 1.50279795582 1.84000162315 
	75.0 -0.0730418023965 -1.64343671468 1.84000170356 
	223.0 0.517012259594 1.55689134779 1.84000327454 
	85.0 -0.223393901879 -1.62985096296 1.84000339801 
	273.0 -1.26509095127 1.04542853118 1.84000430227 
	35.0 -1.59745364783 -0.385088984783 1.84000448232 
	224.0 0.371677336868 1.59770995732 1.84000496589 
	84.0 -0.371838687457 -1.60241766538 1.8400051329 
	225.0 0.223230390473 1.62514725377 1.84000666273 
	83.0 -0.51717544794 -1.56159429759 1.8400068746 
	272.0 -1.13904883405 1.18114242277 1.84000789246 
	36.0 -1.54415968337 -0.562471233927 1.84000817929 
	215.0 0.0728617196182 1.63864739382 1.84000834366 
	49.0 -0.658093791907 -1.50741835256 1.84000859992 
	271.0 -0.998592973017 1.30188455438 1.84001150776 
	37.0 -1.47132086059 -0.732767903793 1.84001190093 
	237.0 -0.845317935028 1.4058944853 1.8400151718 
	27.0 -1.37960666683 -0.893701454065 1.84001567328 
	55.0 -1.27771683323 -1.03485503739 1.84079863374 
	254.0 -0.566353907299 1.54230646527 1.86150365223 
	67.0 -1.06273099866 -1.25873392957 1.86293202041 
	256.0 -0.410200981998 1.59116165769 1.86317762345 
	68.0 -1.17401378641 -1.15708978033 1.87236340118 
	244.0 -0.0898834646234 1.65856939465 2.00849690865 
	57.0 -0.811993238247 -1.45503146938 2.00879706663 
	140.0 1.6209125 -0.37939675 2.01 
	5.0 -1.6209125 0.373807 2.01 
	148.0 1.56642242505 -0.5648271061 2.01000014179 
	286.0 -1.56644815731 0.559164674434 2.01000014695 
	162.0 1.65376088036 -0.188937607343 2.01000015574 
	19.0 -1.65375248759 0.183423984697 2.01000016588 
	147.0 1.49058538734 -0.74260327261 2.01000029826 
	285.0 -1.49065468653 0.736875765598 2.01000030837 
	163.0 1.66406867961 0.0040639375094 2.01000032731 
	20.0 -1.66407016369 -0.00950049492652 2.01000033332 
	101.0 1.39473436839 -0.910443709478 2.01000047475 
	264.0 -1.39486170025 0.904660849795 2.01000048934 
	155.0 1.65202840909 0.196970752503 2.01000051707 
	12.0 -1.6520581969 -0.20233272669 2.01000054645 
	133.0 1.28070906251 -1.06529243573 2.01000059368 
	201.0 1.61795038671 0.38622857928 2.01000062366 
	132.0 1.14958248088 -1.2059462333 2.01000069835 
	202.0 1.56226799909 0.570285773241 2.01000071511 
	131.0 1.00311842701 -1.33055314128 2.01000081866 
	203.0 1.48574413236 0.746701952879 2.01000082242 
	204.0 1.38935599719 0.913099645494 2.01000093283 
	130.0 0.84324085134 -1.43740883384 2.0100009423 
	205.0 1.27441610826 1.06726729675 2.01000104388 
	129.0 0.672103826852 -1.5251075755 2.01000106586 
	206.0 1.14245100093 1.20713932865 2.01000115557 
